Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"02/03/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"02/03/2023";"Temperatura media  atura a 1.5m";"6.01";"1";"ºC"
"03/03/2023";"Lluvia";"0.0";"1";"L/m2"
"03/03/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"03/03/2023";"Temperatura media  atura a 1.5m";"6.78";"1";"ºC"
"04/03/2023";"Lluvia";"0.0";"1";"L/m2"
"04/03/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"04/03/2023";"Temperatura media  atura a 1.5m";"8.95";"1";"ºC"
"05/03/2023";"Lluvia";"2.0";"1";"L/m2"
"05/03/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"05/03/2023";"Temperatura media  atura a 1.5m";"7.02";"1";"ºC"
"06/03/2023";"Lluvia";"3.3";"1";"L/m2"
"06/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"06/03/2023";"Temperatura media  atura a 1.5m";"10.05";"1";"ºC"
"07/03/2023";"Lluvia";"5.9";"1";"L/m2"
"07/03/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"07/03/2023";"Temperatura media  atura a 1.5m";"11.88";"1";"ºC"
"08/03/2023";"Lluvia";"21.9";"1";"L/m2"
"08/03/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"08/03/2023";"Temperatura media  atura a 1.5m";"13.59";"1";"ºC"
"09/03/2023";"Lluvia";"11.6";"1";"L/m2"
"09/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"09/03/2023";"Temperatura media  atura a 1.5m";"12.69";"1";"ºC"
"10/03/2023";"Lluvia";"3.3";"1";"L/m2"
"10/03/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"10/03/2023";"Temperatura media  atura a 1.5m";"13.08";"1";"ºC"
"11/03/2023";"Lluvia";"10.5";"1";"L/m2"
"11/03/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"11/03/2023";"Temperatura media  atura a 1.5m";"13.68";"1";"ºC"
"12/03/2023";"Lluvia";"0.7";"1";"L/m2"
"12/03/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"12/03/2023";"Temperatura media  atura a 1.5m";"14.45";"1";"ºC"
"13/03/2023";"Lluvia";"26.7";"1";"L/m2"
"13/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"13/03/2023";"Temperatura media  atura a 1.5m";"11.65";"1";"ºC"
"14/03/2023";"Lluvia";"0.8";"1";"L/m2"
"14/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"14/03/2023";"Temperatura media  atura a 1.5m";"10.58";"1";"ºC"
"15/03/2023";"Lluvia";"0.0";"1";"L/m2"
"15/03/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"15/03/2023";"Temperatura media  atura a 1.5m";"12.38";"1";"ºC"
"16/03/2023";"Lluvia";"15.8";"1";"L/m2"
"16/03/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"16/03/2023";"Temperatura media  atura a 1.5m";"11.07";"1";"ºC"
"17/03/2023";"Lluvia";"31.1";"1";"L/m2"
"17/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"17/03/2023";"Temperatura media  atura a 1.5m";"10.96";"1";"ºC"
"18/03/2023";"Lluvia";"4.2";"1";"L/m2"
"18/03/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"18/03/2023";"Temperatura media  atura a 1.5m";"11.59";"1";"ºC"
"19/03/2023";"Lluvia";"0.0";"1";"L/m2"
"19/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"19/03/2023";"Temperatura media  atura a 1.5m";"12.00";"1";"ºC"
"20/03/2023";"Lluvia";"0.0";"1";"L/m2"
"20/03/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"20/03/2023";"Temperatura media  atura a 1.5m";"10.66";"1";"ºC"
"21/03/2023";"Lluvia";"0.0";"1";"L/m2"
"21/03/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"21/03/2023";"Temperatura media  atura a 1.5m";"12.27";"1";"ºC"
"22/03/2023";"Lluvia";"7.2";"1";"L/m2"
"22/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"22/03/2023";"Temperatura media  atura a 1.5m";"11.78";"1";"ºC"
"23/03/2023";"Lluvia";"35.2";"1";"L/m2"
"23/03/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"23/03/2023";"Temperatura media  atura a 1.5m";"12.81";"1";"ºC"
"24/03/2023";"Lluvia";"0.3";"1";"L/m2"
"24/03/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"24/03/2023";"Temperatura media  atura a 1.5m";"11.75";"1";"ºC"
"25/03/2023";"Lluvia";"8.3";"1";"L/m2"
"25/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"25/03/2023";"Temperatura media  atura a 1.5m";"11.07";"1";"ºC"
"26/03/2023";"Lluvia";"0.0";"1";"L/m2"
"26/03/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"26/03/2023";"Temperatura media  atura a 1.5m";"11.09";"1";"ºC"
"27/03/2023";"Lluvia";"0.0";"1";"L/m2"
"27/03/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"27/03/2023";"Temperatura media  atura a 1.5m";"11.71";"1";"ºC"
"28/03/2023";"Lluvia";"0.0";"1";"L/m2"
"28/03/2023";"Humedad relativa media a 1.5m";"39";"1";"%"
"28/03/2023";"Temperatura media  atura a 1.5m";"14.83";"1";"ºC"
"29/03/2023";"Lluvia";"10.2";"1";"L/m2"
"29/03/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"29/03/2023";"Temperatura media  atura a 1.5m";"15.41";"1";"ºC"
"30/03/2023";"Lluvia";"7.0";"1";"L/m2"
"30/03/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"30/03/2023";"Temperatura media  atura a 1.5m";"13.76";"1";"ºC"
"31/03/2023";"Lluvia";"1.1";"1";"L/m2"
"31/03/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"31/03/2023";"Temperatura media  atura a 1.5m";"12.83";"1";"ºC"
"01/04/2023";"Lluvia";"0.8";"1";"L/m2"
"01/04/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"01/04/2023";"Temperatura media  atura a 1.5m";"11.10";"1";"ºC"
"02/04/2023";"Lluvia";"0.0";"1";"L/m2"
"02/04/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"02/04/2023";"Temperatura media  atura a 1.5m";"10.51";"1";"ºC"
"03/04/2023";"Lluvia";"0.0";"1";"L/m2"
"03/04/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"03/04/2023";"Temperatura media  atura a 1.5m";"10.60";"1";"ºC"
"04/04/2023";"Lluvia";"0.0";"1";"L/m2"
"04/04/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"04/04/2023";"Temperatura media  atura a 1.5m";"12.52";"1";"ºC"
"05/04/2023";"Lluvia";"0.0";"1";"L/m2"
"05/04/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"05/04/2023";"Temperatura media  atura a 1.5m";"13.40";"1";"ºC"
"06/04/2023";"Lluvia";"0.0";"1";"L/m2"
"06/04/2023";"Humedad relativa media a 1.5m";"57";"1";"%"
"06/04/2023";"Temperatura media  atura a 1.5m";"13.18";"1";"ºC"
"07/04/2023";"Lluvia";"0.0";"1";"L/m2"
"07/04/2023";"Humedad relativa media a 1.5m";"51";"1";"%"
"07/04/2023";"Temperatura media  atura a 1.5m";"15.22";"1";"ºC"
"08/04/2023";"Lluvia";"0.0";"1";"L/m2"
"08/04/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"08/04/2023";"Temperatura media  atura a 1.5m";"16.05";"1";"ºC"
"09/04/2023";"Lluvia";"0.0";"1";"L/m2"
"09/04/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"09/04/2023";"Temperatura media  atura a 1.5m";"12.84";"1";"ºC"
"10/04/2023";"Lluvia";"2.3";"1";"L/m2"
"10/04/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"10/04/2023";"Temperatura media  atura a 1.5m";"13.17";"1";"ºC"
"11/04/2023";"Lluvia";"0.0";"1";"L/m2"
"11/04/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"11/04/2023";"Temperatura media  atura a 1.5m";"11.80";"1";"ºC"
"12/04/2023";"Lluvia";"4.9";"1";"L/m2"
