Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Ourense";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"20/03/2023";"Temperatura media  atura a 1.5m";"12.07";"1";"ºC"
"21/03/2023";"Lluvia";"0.0";"1";"L/m2"
"21/03/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"21/03/2023";"Temperatura media  atura a 1.5m";"13.98";"1";"ºC"
"22/03/2023";"Lluvia";"0.0";"1";"L/m2"
"22/03/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"22/03/2023";"Temperatura media  atura a 1.5m";"12.75";"1";"ºC"
"23/03/2023";"Lluvia";"1.2";"1";"L/m2"
"23/03/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"23/03/2023";"Temperatura media  atura a 1.5m";"15.22";"1";"ºC"
"24/03/2023";"Lluvia";"5.2";"1";"L/m2"
"24/03/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"24/03/2023";"Temperatura media  atura a 1.5m";"13.33";"1";"ºC"
"25/03/2023";"Lluvia";"0.0";"1";"L/m2"
"25/03/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"25/03/2023";"Temperatura media  atura a 1.5m";"9.86";"1";"ºC"
"26/03/2023";"Lluvia";"0.0";"1";"L/m2"
"26/03/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"26/03/2023";"Temperatura media  atura a 1.5m";"12.81";"1";"ºC"
"27/03/2023";"Lluvia";"0.0";"1";"L/m2"
"27/03/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"27/03/2023";"Temperatura media  atura a 1.5m";"11.93";"1";"ºC"
"28/03/2023";"Lluvia";"0.0";"1";"L/m2"
"28/03/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"28/03/2023";"Temperatura media  atura a 1.5m";"14.74";"1";"ºC"
"29/03/2023";"Lluvia";"0.0";"1";"L/m2"
"29/03/2023";"Humedad relativa media a 1.5m";"58";"1";"%"
"29/03/2023";"Temperatura media  atura a 1.5m";"16.71";"1";"ºC"
"30/03/2023";"Lluvia";"0.0";"1";"L/m2"
