Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Campus Lugo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"07/04/2023";"Lluvia";"0.0";"1";"L/m2"
"07/04/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"07/04/2023";"Temperatura media  atura a 1.5m";"13.76";"1";"ºC"
"08/04/2023";"Lluvia";"0.0";"1";"L/m2"
"08/04/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"08/04/2023";"Temperatura media  atura a 1.5m";"14.07";"1";"ºC"
"09/04/2023";"Lluvia";"0.0";"1";"L/m2"
"09/04/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"09/04/2023";"Temperatura media  atura a 1.5m";"13.16";"1";"ºC"
"10/04/2023";"Lluvia";"0.9";"1";"L/m2"
"10/04/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"10/04/2023";"Temperatura media  atura a 1.5m";"12.61";"1";"ºC"
"11/04/2023";"Lluvia";"0.0";"1";"L/m2"
"11/04/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"11/04/2023";"Temperatura media  atura a 1.5m";"13.44";"1";"ºC"
"12/04/2023";"Lluvia";"11.6";"1";"L/m2"
"12/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"12/04/2023";"Temperatura media  atura a 1.5m";"9.34";"1";"ºC"
"13/04/2023";"Lluvia";"4.1";"1";"L/m2"
"13/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"13/04/2023";"Temperatura media  atura a 1.5m";"8.07";"1";"ºC"
"14/04/2023";"Lluvia";"4.2";"1";"L/m2"
"14/04/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"14/04/2023";"Temperatura media  atura a 1.5m";"12.53";"1";"ºC"
"15/04/2023";"Lluvia";"0.0";"1";"L/m2"
"15/04/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"15/04/2023";"Temperatura media  atura a 1.5m";"13.15";"1";"ºC"
"16/04/2023";"Lluvia";"0.0";"1";"L/m2"
"16/04/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"16/04/2023";"Temperatura media  atura a 1.5m";"14.40";"1";"ºC"
"17/04/2023";"Lluvia";"0.0";"1";"L/m2"
"17/04/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"17/04/2023";"Temperatura media  atura a 1.5m";"14.15";"1";"ºC"
"18/04/2023";"Lluvia";"0.0";"1";"L/m2"
"18/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"18/04/2023";"Temperatura media  atura a 1.5m";"12.27";"1";"ºC"
"19/04/2023";"Lluvia";"0.0";"1";"L/m2"
"19/04/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"19/04/2023";"Temperatura media  atura a 1.5m";"14.74";"1";"ºC"
"20/04/2023";"Lluvia";"0.0";"1";"L/m2"
"20/04/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"20/04/2023";"Temperatura media  atura a 1.5m";"12.36";"1";"ºC"
"21/04/2023";"Lluvia";"9.6";"1";"L/m2"
