Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Coruña-Torre de Hércules";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"23/03/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"23/03/2023";"Temperatura media  atura a 1.5m";"15.64";"1";"ºC"
"24/03/2023";"Lluvia";"0.0";"1";"L/m2"
"24/03/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"24/03/2023";"Temperatura media  atura a 1.5m";"13.98";"1";"ºC"
"25/03/2023";"Lluvia";"3.6";"1";"L/m2"
"25/03/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"25/03/2023";"Temperatura media  atura a 1.5m";"13.86";"1";"ºC"
"26/03/2023";"Lluvia";"0.6";"1";"L/m2"
"26/03/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"26/03/2023";"Temperatura media  atura a 1.5m";"13.43";"1";"ºC"
"27/03/2023";"Lluvia";"0.0";"1";"L/m2"
"27/03/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"27/03/2023";"Temperatura media  atura a 1.5m";"12.53";"1";"ºC"
"28/03/2023";"Lluvia";"0.0";"1";"L/m2"
"28/03/2023";"Humedad relativa media a 1.5m";"30";"1";"%"
"28/03/2023";"Temperatura media  atura a 1.5m";"18.49";"1";"ºC"
"29/03/2023";"Lluvia";"0.0";"1";"L/m2"
"29/03/2023";"Humedad relativa media a 1.5m";"49";"1";"%"
"29/03/2023";"Temperatura media  atura a 1.5m";"19.35";"1";"ºC"
"30/03/2023";"Lluvia";"0.6";"1";"L/m2"
"30/03/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"30/03/2023";"Temperatura media  atura a 1.5m";"16.70";"1";"ºC"
"31/03/2023";"Lluvia";"0.0";"1";"L/m2"
"31/03/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"31/03/2023";"Temperatura media  atura a 1.5m";"14.98";"1";"ºC"
"01/04/2023";"Lluvia";"2.7";"1";"L/m2"
"01/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"01/04/2023";"Temperatura media  atura a 1.5m";"13.39";"1";"ºC"
"02/04/2023";"Lluvia";"0.0";"1";"L/m2"
"02/04/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"02/04/2023";"Temperatura media  atura a 1.5m";"12.11";"1";"ºC"
"03/04/2023";"Lluvia";"0.0";"1";"L/m2"
"03/04/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"03/04/2023";"Temperatura media  atura a 1.5m";"12.34";"1";"ºC"
"04/04/2023";"Lluvia";"0.0";"1";"L/m2"
"04/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"04/04/2023";"Temperatura media  atura a 1.5m";"13.51";"1";"ºC"
"05/04/2023";"Lluvia";"0.0";"1";"L/m2"
"05/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"05/04/2023";"Temperatura media  atura a 1.5m";"12.48";"1";"ºC"
"06/04/2023";"Lluvia";"0.0";"1";"L/m2"
"06/04/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"06/04/2023";"Temperatura media  atura a 1.5m";"12.52";"1";"ºC"
"07/04/2023";"Lluvia";"0.0";"1";"L/m2"
"07/04/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"07/04/2023";"Temperatura media  atura a 1.5m";"14.76";"1";"ºC"
"08/04/2023";"Lluvia";"0.0";"1";"L/m2"
"08/04/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"08/04/2023";"Temperatura media  atura a 1.5m";"14.91";"1";"ºC"
"09/04/2023";"Lluvia";"0.0";"1";"L/m2"
"09/04/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"09/04/2023";"Temperatura media  atura a 1.5m";"14.54";"1";"ºC"
"10/04/2023";"Lluvia";"0.4";"1";"L/m2"
"10/04/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"10/04/2023";"Temperatura media  atura a 1.5m";"15.87";"1";"ºC"
"11/04/2023";"Lluvia";"0.0";"1";"L/m2"
"11/04/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"11/04/2023";"Temperatura media  atura a 1.5m";"15.46";"1";"ºC"
"12/04/2023";"Lluvia";"7.6";"1";"L/m2"
"12/04/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"12/04/2023";"Temperatura media  atura a 1.5m";"13.02";"1";"ºC"
"13/04/2023";"Lluvia";"11.7";"1";"L/m2"
"13/04/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"13/04/2023";"Temperatura media  atura a 1.5m";"12.32";"1";"ºC"
"14/04/2023";"Lluvia";"5.0";"1";"L/m2"
"14/04/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"14/04/2023";"Temperatura media  atura a 1.5m";"14.72";"1";"ºC"
"15/04/2023";"Lluvia";"0.0";"1";"L/m2"
"15/04/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"15/04/2023";"Temperatura media  atura a 1.5m";"15.07";"1";"ºC"
"16/04/2023";"Lluvia";"0.0";"1";"L/m2"
"16/04/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"16/04/2023";"Temperatura media  atura a 1.5m";"15.05";"1";"ºC"
"17/04/2023";"Lluvia";"0.0";"1";"L/m2"
"17/04/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"17/04/2023";"Temperatura media  atura a 1.5m";"17.15";"1";"ºC"
"18/04/2023";"Lluvia";"0.0";"1";"L/m2"
"18/04/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"18/04/2023";"Temperatura media  atura a 1.5m";"15.73";"1";"ºC"
"19/04/2023";"Lluvia";"0.0";"1";"L/m2"
"19/04/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"19/04/2023";"Temperatura media  atura a 1.5m";"15.26";"1";"ºC"
"20/04/2023";"Lluvia";"0.0";"1";"L/m2"
"20/04/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"20/04/2023";"Temperatura media  atura a 1.5m";"15.20";"1";"ºC"
"21/04/2023";"Lluvia";"1.7";"1";"L/m2"
"21/04/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"21/04/2023";"Temperatura media  atura a 1.5m";"14.11";"1";"ºC"
"22/04/2023";"Lluvia";"4.3";"1";"L/m2"
"22/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
